Biome,Log-OC,Log-SMC
Cropland,2.132625565,0.5132176
Cropland,1.914569805,0.516629796
Cropland,1.967815317,0.516629796
Cropland,1.967815317,0.51757289
Cropland,2,0.51851394
Cropland,3.156347201,0.519609261
Cropland,1.870905304,0.520389945
Cropland,2.029963223,0.525969822
Cropland,2.280383226,0.525969822
Cropland,2.602059991,0.533602611
Cropland,1.858193338,0.534207478
Cropland,1.853871964,0.535113202
Cropland,1.899194943,0.535113202
Cropland,2.015239967,0.535113202
Cropland,2.052826106,0.535113202
Cropland,2.057991947,0.535113202
Cropland,2.132625565,0.535113202
Cropland,2.234083206,0.535113202
Cropland,1.594234654,0.539613703
Cropland,1.977723605,0.541400926
Cropland,2.84509804,0.541995036
Cropland,1.987410873,0.544068044
Cropland,1.993751051,0.544068044
Cropland,2.029963223,0.544068044
Cropland,2.301029996,0.544068044
Cropland,2.643558431,0.544068044
Cropland,2.669006781,0.544068044
Cropland,2,0.547598913
Cropland,2.285235728,0.552668216
Cropland,1.397940009,0.552841969
Cropland,1.632023215,0.552841969
Cropland,1.756961951,0.552841969
Cropland,1.756961951,0.552841969
Cropland,1.93305321,0.552841969
Cropland,2.057991947,0.552841969
Cropland,2.414973348,0.552841969
Cropland,2.970036777,0.55428721
Cropland,2.049771617,0.554921595
Cropland,2.079181246,0.556302501
Cropland,2.263805088,0.561271795
Cropland,1.624723976,0.56144214
Cropland,2,0.56144214
Cropland,2.132625565,0.56144214
Cropland,2.029963223,0.563989329
Cropland,2.226783967,0.569206648
Cropland,1.936657335,0.57012579
Cropland,1.977723605,0.570709688
Cropland,2.645094624,0.574031268
Cropland,3.006160309,0.574031268
Cropland,3.116718406,0.574031268
Cropland,1.996886765,0.578147834
Cropland,2.057991947,0.578147834
Cropland,2.307512123,0.578147834
Cropland,3.148705459,0.579783597
Cropland,2.086868075,0.580599173
Cropland,2.619788758,0.583576586
Cropland,2.106724995,0.58384625
Cropland,2.186310424,0.584250433
Cropland,3.156347201,0.584519679
Cropland,2.578147834,0.586265724
Cropland,2.080347138,0.587095124
Cropland,2.192328458,0.590268467
Cropland,3.105510185,0.590786124
Cropland,2,0.591064607
Cropland,2.132625565,0.593523408
Cropland,1.660051938,0.594234654
Cropland,1.698970004,0.594234654
Cropland,2.044203662,0.594234654
Cropland,2.746893557,0.597512364
Cropland,2.970036777,0.601154267
Cropland,1.808114474,0.601283772
Cropland,1.977723605,0.602059991
Cropland,2.06069784,0.60360828
Cropland,2.898542359,0.608347715
Cropland,2.161368002,0.608526034
Cropland,2.653212514,0.611014834
Cropland,1.97114326,0.612783857
Cropland,1.964461675,0.614294448
Cropland,1.967815317,0.614294448
Cropland,2.592916612,0.61630043
Cropland,2.084320886,0.617299958
Cropland,2.084320886,0.617299958
Cropland,2.109144469,0.617299958
Cropland,2.118904307,0.617299958
Cropland,2.23768733,0.617898572
Cropland,2.636822098,0.619788758
Cropland,2.725093582,0.619788758
Cropland,2.733732111,0.619788758
Cropland,2.81964969,0.619788758
Cropland,2.875061263,0.619788758
Cropland,2.099384632,0.620284811
Cropland,3.538866851,0.622386739
Cropland,2.084320886,0.623175425
Cropland,2.996365715,0.62324929
Cropland,2.044203662,0.624723976
Cropland,3.5261238,0.62838893
Cropland,1.808114474,0.632023215
Cropland,2.084320886,0.632023215
Cropland,2.834632606,0.634309297
Cropland,2.219359949,0.634333297
Cropland,2.006160309,0.635627339
Cropland,2.67669361,0.636822098
Cropland,2.746893557,0.636822098
Cropland,2.239478238,0.637418247
Cropland,3.151267675,0.637656477
Cropland,3.156347201,0.637656477
Cropland,1.808114474,0.639201799
Cropland,1.967815317,0.639201799
Cropland,2.029963223,0.639201799
Cropland,2.044203662,0.639201799
Cropland,2.063909753,0.639201799
Cropland,2.01822482,0.641474111
Cropland,2.920818754,0.642629369
Cropland,2.165625825,0.64274708
Cropland,2.698970004,0.645094624
Cropland,3.158864857,0.645913275
Cropland,1.639201799,0.646263654
Cropland,1.756961951,0.646263654
Cropland,1.756961951,0.646263654
Cropland,2.977723605,0.652407519
Cropland,2.02413368,0.65252261
Cropland,1.756961951,0.653212514
Cropland,2.044203662,0.653212514
Cropland,2.2155998,0.653212514
Cropland,3.140926842,0.655618584
Cropland,2.500602351,0.656417654
Cropland,1.967815317,0.660051938
Cropland,2.029963223,0.660051938
Cropland,2.080921908,0.660051938
Cropland,3.360151448,0.661181443
Cropland,1.974445896,0.661406992
Cropland,2.645094624,0.662757832
Cropland,2.038563395,0.664104482
Cropland,3.116718406,0.664406904
Cropland,2.029963223,0.666785321
Cropland,2.384071663,0.666785321
Cropland,2.012234456,0.668785146
Cropland,2.223087822,0.670245853
Cropland,3.156347201,0.672867202
Cropland,2.057991947,0.6734159
Cropland,2.132625565,0.6734159
Cropland,2.927284796,0.673635185
Cropland,2.425968732,0.67669361
Cropland,2.171935299,0.677085278
Cropland,2.186310424,0.677672118
Cropland,2.109144469,0.679946767
Cropland,2.320739585,0.679946767
Cropland,2.003091077,0.680594484
Cropland,2.034762106,0.684246748
Cropland,3.091080469,0.684246748
Cropland,3.12764463,0.684246748
Cropland,1.646263654,0.686380877
Cropland,2.410174465,0.686380877
Cropland,2.733732111,0.68797462
Cropland,2.243038049,0.69019608
Cropland,2.057991947,0.692721055
Cropland,2.353559047,0.692721055
Cropland,1.552841969,0.698970004
Cropland,1.808114474,0.698970004
Cropland,2.759667845,0.698970004
Cropland,2.15490196,0.700827289
Cropland,3.148705459,0.702574129
Cropland,2.032848912,0.703905222
Cropland,2.263805088,0.70457945
Cropland,2.132625565,0.705130313
Cropland,2.985276743,0.706148589
Cropland,2.336459734,0.707570176
Cropland,3.574031268,0.711103918
Cropland,2.15490196,0.711204461
Cropland,2.263805088,0.711204461
Cropland,2.180207825,0.711686742
Cropland,3.158864857,0.712509403
Cropland,2.889301703,0.713210443
Cropland,3.684246748,0.713210443
Cropland,1.97114326,0.714209971
Cropland,2.003091077,0.714209971
Cropland,2.583576586,0.715306801
Cropland,3.571126277,0.716698771
Cropland,1.967815317,0.717194824
Cropland,2.255272505,0.717670503
Cropland,2.066059569,0.719272083
Cropland,2.106724995,0.719508852
Cropland,2.204119983,0.722633923
Cropland,1.895264649,0.723103684
Cropland,2.511883361,0.723592479
Cropland,2.533299861,0.724860778
Cropland,2.132625565,0.724919226
Cropland,2.954242509,0.724958186
Cropland,2.146128036,0.725911632
Cropland,2.511883361,0.726998728
Cropland,2.985276743,0.726998728
Cropland,2.77815125,0.731499229
Cropland,2.56427143,0.733732111
Cropland,2.870208761,0.733732111
Cropland,3.143535225,0.73506635
Cropland,2.753327667,0.739044648
Cropland,2.418538029,0.740362689
Cropland,3.153814864,0.742986833
Cropland,3.436692598,0.746893557
Cropland,2.801632346,0.747886014
Cropland,1.980976763,0.74929451
Cropland,2.929418926,0.74947865
Cropland,2.015239967,0.752597146
Cropland,2.933655979,0.753327667
Cropland,3.306425028,0.753327667
Cropland,2.19266036,0.755239458
Cropland,2.251811973,0.756961951
Cropland,2.280383226,0.75750448
Cropland,3.232572615,0.759037976
Cropland,3.116718406,0.761489315
Cropland,2.012234456,0.762356983
Cropland,2.792891741,0.762356983
Cropland,3.22184875,0.762803559
Cropland,3.24096504,0.762803559
Cropland,2.989004616,0.766536772
Cropland,3.086359831,0.772077103
Cropland,2.929418926,0.775124796
Cropland,2.258705681,0.777219621
Cropland,2.336459734,0.77815125
Cropland,3.313515707,0.779355952
Cropland,2.55428721,0.785922729
Cropland,3.238882089,0.785922729
Cropland,2.16993095,0.788370416
Cropland,2.759667845,0.790050474
Cropland,2.083546051,0.793391217
Cropland,2.946124619,0.795880017
Cropland,2.992700761,0.795880017
Cropland,2.111550539,0.798354636
Cropland,2.834632606,0.799914633
Cropland,2.133073522,0.803261971
Cropland,2.052529051,0.803749668
Cropland,2.367089564,0.804236819
Cropland,2.713210443,0.807309479
Cropland,2.765916794,0.807309479
Cropland,3.148705459,0.810120456
Cropland,2.619788758,0.810680475
Cropland,2.111307834,0.812913357
Cropland,2.027058233,0.813390341
Cropland,2.855317205,0.818445845
Cropland,2.91204483,0.818445845
Cropland,3.086359831,0.818445845
Cropland,3.194976603,0.818445845
Cropland,2.740362689,0.819543936
Cropland,2.970036777,0.822821645
Cropland,2.038563395,0.823753608
Cropland,3.34684177,0.823908741
Cropland,2.549353641,0.827922867
Cropland,2.720159303,0.829303773
